Project_Name,Project_URL,Project_Hash,Test_id,OD_Type,Polluter_or_Setter,Cleaner,Diff,Path
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple,victim,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_class_mapping.py::test_class_mapping,"37a38
>     container.initialize()
",IOCynergy/ipflakies_result/0f33da25/patch/test_register_multiple_patch_06d164b9.patch
LabIFSC,https://github.com/gjvnq/LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py::test_medida_si_2,brittle,tests/medida_format_test.py::test_medida_format_A1,,"69a70
>     m = Medida((31.5467, 0.052), 'ft^2')
",LabIFSC/ipflakies_result/1eff5e51/patch/medida_test_patch_d0b3dbba.patch
LabIFSC,https://github.com/gjvnq/LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py::test_medida_si_3,brittle,tests/medida_format_test.py::test_medida_format_A1,,"76a77
>     m = Medida((31.5467, 0.052), 'ft^2')
",LabIFSC/ipflakies_result/bc09b078/patch/medida_test_patch_d0b3dbba.patch
NestedDictionary,https://github.com/cahoy/NestedDictionary,881f0ea8af36a60fcd1b9d7a84b1aec4cd7072b2,easy_dict/tests/test_01_default.py::test_del,brittle,easy_dict/tests/test_01_default.py::test_quick_assign,,"47a48
>     x[123] = 'abc'
",NestedDictionary/ipflakies_result/2167d10c/patch/test_01_default_patch_f4ffda46.patch
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_input_type,test/test_occam_data.py::test_occam_data_save_load,"197a198
>     shutil.rmtree(class_dir)
",OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_dimension,test/test_occam_data.py::test_occam_data_save_load,"197a198
>     shutil.rmtree(class_dir)
",OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_time_steps,test/test_occam_data.py::test_occam_data_save_load,"197a198
>     shutil.rmtree(class_dir)
",OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_save_load,"197a198
>     shutil.rmtree(class_dir)
",OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_is_terminal,brittle,__tests__/test_simple_graph.py::TestSimpleGraph::test_add_vertex,,"27a28,29
>         value = 'b'
>         vertex = self.graph.add_vertex(value)
",PyGraph/ipflakies_result/ac48c7e8/patch/test_simple_graph_patch_ac7ee3a9.patch
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_vertex_exists,brittle,__tests__/test_simple_graph.py::TestSimpleGraph::test_num_vertex,,"33a34
>         self.graph.add_vertex('a')
",PyGraph/ipflakies_result/a9982c47/patch/test_simple_graph_patch_e18b45d1.patch
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_mudobjects.py::TestLocations::test_message_nearby_location,"140a141,146
>         plaza = Location('plaza')
>         road = Location('road')
>         wiretap_plaza = Wiretap(plaza)
>         plaza.message_nearby_locations('boing')
>         pubsub.sync()
>         self.assertEqual([], wiretap_plaza.msgs, 'the plaza doesnt receive tells')
",Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_3c47b5c6.patch
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_mudobjects.py::TestLiving::test_move,"140a141,144
>         attic = Location('attic')
>         rat3 = Living('rat3', 'n', race='rodent')
>         rat3.move(attic, direction_names=['somewhere'])
>         pubsub.sync()
",Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_54b60f24.patch
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_player.py::TestPlayer::test_wiretap,"140a141,146
>         attic = Location('Attic', 'A dark attic.')
>         player = Player('fritz', 'm')
>         io = ConsoleIo(None)
>         pc = PlayerConnection(player, io)
>         pubsub.sync()
>         output = pc.get_output()
",Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_08bc6f78.patch
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_pubsub.py::TestPubsub::test_destroy,"140a141,148
>         sync()
>         s1 = topic('testA')
>         s2 = topic('testB')
>         s1.send('123')
>         p = pending()
>         self.assertIn('testA', p)
>         self.assertIn('testB', p)
>         s1.destroy()
",Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_44829275.patch
alphanum_code,https://github.com/ylaizet/alphanum_code,fb5cd313dc41f046aac01ff01d6e1561d17894a6,tests/test_alphanum_code.py::test_next_code,brittle,tests/test_alphanum_code.py::test_init_code,,"1,34c1,35
< #!/usr/bin/env python
< # -*- coding: utf-8 -*-
< 
< """"""Test AlphanumCOde.
< 
< Usage:
<     python -m pytest tests/
< 
< """"""
< 
< import datetime
< import pytest
< import os
< from alphanum_code import AlphaNumCodeManager
< 
< INIT_CODE = ""52Z9Z""
< 
< 
< @pytest.fixture(scope=""module"")
< def coder():
<     manager = AlphaNumCodeManager(""sqlite:///tests/codes.sqlite"", code_size=5, init_code=INIT_CODE)
<     yield manager
<     os.remove(""tests/codes.sqlite"")
< 
< 
< def test_init_code(coder):
<     code = coder.next_code(""init code test"")
<     assert code == INIT_CODE
< 
< 
< def test_next_code(coder):
<     coder.next_code()
<     code = coder.next_code(""next code test"")
<     assert code == ""52ZA1""
---
> #!/usr/bin/env python
> # -*- coding: utf-8 -*-
> 
> """"""Test AlphanumCOde.
> 
> Usage:
>     python -m pytest tests/
> 
> """"""
> 
> import datetime
> import pytest
> import os
> from alphanum_code import AlphaNumCodeManager
> 
> INIT_CODE = ""52Z9Z""
> 
> 
> @pytest.fixture(scope=""module"")
> def coder():
>     manager = AlphaNumCodeManager(""sqlite:///tests/codes.sqlite"", code_size=5, init_code=INIT_CODE)
>     yield manager
>     os.remove(""tests/codes.sqlite"")
> 
> 
> def test_init_code(coder):
>     code = coder.next_code(""init code test"")
>     assert code == INIT_CODE
> 
> 
> def test_next_code(coder):
>     code = coder.next_code('init code test')
>     coder.next_code()
>     code = coder.next_code(""next code test"")
>     assert code == ""52ZA1""
",alphanum_code/ipflakies_result/690d14c3/patch/test_alphanum_code_patch_e32586eb.patch
api-python,https://github.com/datacommonsorg/api-python,6d09ca1557da0af893f008f7302801f12afc2d46,datacommons/test/set_api_key_test.py::TestApiKey::test_query_no_api_key,brittle,datacommons/test/set_api_key_test.py::TestApiKey::test_query_w_api_key,,"76a77
>         dc.set_api_key(_TEST_API_KEY)
",api-python/ipflakies_result/41741525/patch/set_api_key_test_patch_e80d8d75.patch
api-python,https://github.com/datacommonsorg/api-python,6d09ca1557da0af893f008f7302801f12afc2d46,datacommons/test/set_api_key_test.py::TestApiKey::test_send_request_no_api_key,brittle,datacommons/test/set_api_key_test.py::TestApiKey::test_query_w_api_key,,"82a83
>         dc.set_api_key(_TEST_API_KEY)
",api-python/ipflakies_result/301df477/patch/set_api_key_test_patch_e80d8d75.patch
atlasclient,https://github.com/jpoullet2000/atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,victim,tests/test_models.py::TestDiscoveryREST::test_search_basic_get,tests/test_client.py::TestClient::test_atlas_client,"454a455
>         client = Atlas('localhost', port=21000, username='admin', password='admin')
",atlasclient/ipflakies_result/6443f690/patch/test_models_patch_ef06bded.patch
atlasclient,https://github.com/jpoullet2000/atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,victim,tests/test_models.py::TestDiscoveryREST::test_search_basic_get,tests/test_models.py::TestEntityREST::test_entity_post,"454a455
>         mocker.patch.object(atlas_client.entity_post.client, 'post')
",atlasclient/ipflakies_result/6443f690/patch/test_models_patch_a6f47ca2.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_deletesessions.py::test_sessions_delete_userid,"24a25,51
>     user_payload = {'full_name': 'Test User', 'email': 'testuser-sessiondelete@test.org', 'password': 'aROwQin9L8nNtPTEMLXd', 'pii_salt': 'super-secret-salt', 'reqid': 1}
>     user_created = actions.create_new_user(user_payload, override_authdb_path='sqlite:///test-sessiondelete.authdb.sqlite')
>     emailverify = actions.set_user_emailaddr_verified({'email': user_payload['email'], 'user_id': user_created['user_id'], 'pii_salt': 'super-secret-salt', 'reqid': 1}, override_authdb_path='sqlite:///test-sessiondelete.authdb.sqlite')
>     assert (emailverify['success'] is True)
>     assert (emailverify['user_role'] == 'authenticated')
>     session_payload = {'user_id': emailverify['user_id'], 'user_agent': 'Mozzarella Killerwhale', 'expires': (datetime.utcnow() + timedelta(hours=1)), 'ip_address': '1.1.1.1', 'extra_info_json': {'pref_datasets_always_private': True}, 'pii_salt': 'super-secret-salt', 'reqid': 1}
>     session_token1 = actions.auth_session_new(session_payload, override_authdb_path='sqlite:///test-sessiondelete.authdb.sqlite')
>     session_payload = {'user_id': emailverify['user_id'], 'user_agent': 'Searchzilla Oxide', 'expires': (datetime.utcnow() + timedelta(hours=1)), 'ip_address': '1.1.1.2', 'extra_info_json': {'pref_datasets_always_private': True}, 'pii_salt': 'super-secret-salt', 'reqid': 1}
>     session_token2 = actions.auth_session_new(session_payload, override_authdb_path='sqlite:///test-sessiondelete.authdb.sqlite')
>     session_payload = {'user_id': emailverify['user_id'], 'user_agent': 'Pear Adventure', 'expires': (datetime.utcnow() + timedelta(hours=1)), 'ip_address': '1.1.1.3', 'extra_info_json': {'pref_datasets_always_private': True}, 'pii_salt': 'super-secret-salt', 'reqid': 1}
>     session_token3 = actions.auth_session_new(session_payload, override_authdb_path='sqlite:///test-sessiondelete.authdb.sqlite')
>     sessions_killed = actions.auth_delete_sessions_userid({'user_id': emailverify['user_id'], 'session_token': session_token3['session_token'], 'keep_current_session': True, 'pii_salt': 'super-secret-salt', 'reqid': 1}, raiseonfail=True, override_authdb_path='sqlite:///test-sessiondelete.authdb.sqlite')
>     assert (sessions_killed['success'] is True)
>     session_check_1 = actions.auth_session_exists({'session_token': session_token1['session_token'], 'pii_salt': 'super-secret-salt', 'reqid': 1}, raiseonfail=True, override_authdb_path='sqlite:///test-sessiondelete.authdb.sqlite')
>     assert (session_check_1['success'] is False)
>     session_check_2 = actions.auth_session_exists({'session_token': session_token2['session_token'], 'pii_salt': 'super-secret-salt', 'reqid': 1}, raiseonfail=True, override_authdb_path='sqlite:///test-sessiondelete.authdb.sqlite')
>     assert (session_check_2['success'] is False)
>     session_check_3 = actions.auth_session_exists({'session_token': session_token3['session_token'], 'pii_salt': 'super-secret-salt', 'reqid': 1}, raiseonfail=True, override_authdb_path='sqlite:///test-sessiondelete.authdb.sqlite')
>     assert (session_check_3['success'] is True)
>     currproc = mp.current_process()
>     if getattr(currproc, 'authdb_engine', None):
>         currproc.authdb_engine.dispose()
>         del currproc.authdb_engine
>     try:
>         os.remove('test-sessiondelete.authdb.sqlite')
>     except Exception:
>         pass
",authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_1b5340b3.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_lockuser.py::test_user_lock,"24a25,53
>     user_payload = {'full_name': 'Test User', 'email': 'testuser-userlock@test.org', 'password': 'aROwQin9L8nNtPTEMLXd', 'pii_salt': 'super-secret-salt', 'reqid': 1}
>     user_created = actions.create_new_user(user_payload, override_authdb_path='sqlite:///test-userlock.authdb.sqlite')
>     emailverify = actions.set_user_emailaddr_verified({'email': user_payload['email'], 'user_id': user_created['user_id'], 'pii_salt': 'super-secret-salt', 'reqid': 1}, override_authdb_path='sqlite:///test-userlock.authdb.sqlite')
>     assert (emailverify['success'] is True)
>     assert (emailverify['user_role'] == 'authenticated')
>     session_payload = {'user_id': emailverify['user_id'], 'user_agent': 'Mozzarella Killerwhale', 'expires': (datetime.utcnow() + timedelta(hours=1)), 'ip_address': '1.1.1.1', 'extra_info_json': {'pref_datasets_always_private': True}, 'pii_salt': 'super-secret-salt', 'reqid': 1}
>     session_token2 = actions.auth_session_new(session_payload, override_authdb_path='sqlite:///test-userlock.authdb.sqlite')
>     assert (session_token2['success'] is True)
>     assert (session_token2['session_token'] is not None)
>     user_locked = actions.internal_toggle_user_lock({'target_userid': emailverify['user_id'], 'action': 'lock', 'pii_salt': 'super-secret-salt', 'reqid': 1}, override_authdb_path='sqlite:///test-userlock-authdb.sqlite', raiseonfail=True)
>     session_token3 = actions.auth_session_new(session_payload, override_authdb_path='sqlite:///test-userlock.authdb.sqlite')
>     assert (session_token3['success'] is True)
>     assert (session_token3['session_token'] is not None)
>     login = actions.auth_user_login({'session_token': session_token3['session_token'], 'email': user_payload['email'], 'password': user_payload['password'], 'pii_salt': 'super-secret-salt', 'reqid': 1}, override_authdb_path='sqlite:///test-userlock.authdb.sqlite')
>     assert (login['success'] is False)
>     user_unlocked = actions.internal_toggle_user_lock({'target_userid': emailverify['user_id'], 'action': 'unlock', 'pii_salt': 'super-secret-salt', 'reqid': 1}, override_authdb_path='sqlite:///test-userlock-authdb.sqlite', raiseonfail=True)
>     session_token3 = actions.auth_session_new(session_payload, override_authdb_path='sqlite:///test-userlock.authdb.sqlite')
>     assert (session_token3['success'] is True)
>     assert (session_token3['session_token'] is not None)
>     login = actions.auth_user_login({'session_token': session_token3['session_token'], 'email': user_payload['email'], 'password': user_payload['password'], 'pii_salt': 'super-secret-salt', 'reqid': 1}, override_authdb_path='sqlite:///test-userlock.authdb.sqlite')
>     assert (login['success'] is True)
>     currproc = mp.current_process()
>     if getattr(currproc, 'authdb_engine', None):
>         currproc.authdb_engine.dispose()
>         del currproc.authdb_engine
>     try:
>         os.remove('test-userlock.authdb.sqlite')
>     except Exception:
>         pass
",authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_22479437.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_passcheck.py::test_passcheck,"24a25,33
>     user_payload = {'full_name': 'Test User', 'email': 'testuser-passcheck@test.org', 'password': 'aROwQin9L8nNtPTEMLXd', 'pii_salt': 'super-secret-salt', 'reqid': 1}
>     currproc = mp.current_process()
>     if getattr(currproc, 'authdb_engine', None):
>         currproc.authdb_engine.dispose()
>         del currproc.authdb_engine
>     try:
>         os.remove('test-passcheck.authdb.sqlite')
>     except Exception:
>         pass
",authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_02380cb7.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_passcheck.py::test_passcheck_nosession,"24a25,40
>     try:
>         os.remove('test-passcheck.authdb.sqlite-wal')
>     except Exception:
>         pass
>     user_payload = {'full_name': 'Test User', 'email': 'testuser-passcheck@test.org', 'password': 'aROwQin9L8nNtPTEMLXd', 'pii_salt': 'super-secret-salt', 'reqid': 1}
>     pass_check = actions.auth_password_check_nosession({'email': user_payload['email'], 'password': 'incorrectponylithiumfastener', 'pii_salt': 'super-secret-salt', 'reqid': 1}, override_authdb_path='sqlite:///test-passcheck.authdb.sqlite', raiseonfail=True)
>     assert (pass_check['success'] is False)
>     assert (pass_check['user_id'] is None)
>     currproc = mp.current_process()
>     if getattr(currproc, 'authdb_engine', None):
>         currproc.authdb_engine.dispose()
>         del currproc.authdb_engine
>     try:
>         os.remove('test-passcheck.authdb.sqlite')
>     except Exception:
>         pass
",authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_26b6f5b4.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_auth_permissions.py::test_role_limits,"24a25,33
>     currproc = mp.current_process()
>     if getattr(currproc, 'authdb_meta', None):
>         del currproc.authdb_meta
>     if getattr(currproc, 'connection', None):
>         currproc.authdb_conn.close()
>         del currproc.authdb_conn
>     if getattr(currproc, 'authdb_engine', None):
>         currproc.authdb_engine.dispose()
>         del currproc.authdb_engine
",authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_c6df2571.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_internal_session_edit.py::test_internal_session_edit,"24a25,33
>     currproc = mp.current_process()
>     if getattr(currproc, 'authdb_meta', None):
>         del currproc.authdb_meta
>     if getattr(currproc, 'connection', None):
>         currproc.authdb_conn.close()
>         del currproc.authdb_conn
>     if getattr(currproc, 'authdb_engine', None):
>         currproc.authdb_engine.dispose()
>         del currproc.authdb_engine
",authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_7b06a266.patch
authnzerver,https://github.com/waqasbhatti/authnzerver,bc735a1c9e1c084c40854a539a000d69a50ed486,authnzerver/tests/test_auth_creation.py::test_create_user,victim,authnzerver/tests/test_auth_login.py::test_login,authnzerver/tests/test_internal_user_edit.py::test_internal_user_edit,"24a25,28
>     currproc = mp.current_process()
>     if getattr(currproc, 'authdb_engine', None):
>         currproc.authdb_engine.dispose()
>         del currproc.authdb_engine
",authnzerver/ipflakies_result/8fd17596/patch/test_auth_creation_patch_7494ad32.patch
