project,sha,polluter_fullpath,cleaner_fullpath,victim_fullpath,md5,pv_result,pcv_result,can_copy_work,1st_patch_time,minimal_patch_time
Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client1-None-401],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],a6c68fd8549266ef46fb747c7966d42f,passed,passed,,,,
Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client2-None-401],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],594fad5540da6332560ff4b28c165d05,passed,passed,,,,
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_constructor_files,test/test_occam_data.py::test_occam_data_progress_bars,test/test_occam_data.py::test_occam_data_not_save_to_npy,1159fec43fafb990ea9a871178e335bb,failed,passed,True,1.1951944008469582,4.285549178719521,"216a217
>     shutil.rmtree(class_dir)
",failed,"
shutil.rmtree(class_dir)
"
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_constructor_files,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_not_save_to_npy,8cc40865ab92726f9216657e966b03ab,failed,passed,True,0.9170484021306038,2.39534180611372,"216a217
>     shutil.rmtree(class_dir)
",failed,"
shutil.rmtree(class_dir)
"
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_occam_data.py::test_occam_data_progress_bars,test/test_occam_data.py::test_occam_data_not_save_to_npy,79ced83bf5dcea51fa8a5ca29e1b3e41,passed,passed,,,,,
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_not_save_to_npy,ce7022449f6253028159131b2bad4161,passed,passed,,,,,
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_progress_bars,4a7342f2377acbe1e5f1eeec5f9ee539,failed,passed,True,0.5162886902689934,1.857783667743206,"197a198
>     shutil.rmtree(class_dir)
",passed,"
shutil.rmtree(class_dir)
"
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_progress_bars,37873c0731978f3198554bd7b721280f,passed,passed,,,,,
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_fort5_to_xyz.py::test_convert_file_name,test/test_occam_data.py::test_occam_data_progress_bars,90774ae8105aa77e489b503b2cf73d7e,passed,passed,,,,,
OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_fort5_to_xyz.py::test_fort5_to_xyz_box,test/test_occam_data.py::test_occam_data_progress_bars,d0fc38b4e0899a9245d05646bd846038,passed,passed,,,,,
Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_mudobjects.py::TestDoorsExits::test_go_through_exit,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,b5fe668ed61762368f297b7c81e7f82d,passed,passed,,,,,
Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_mudobjects.py::TestDoorsExits::test_linked_door_pair,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,c2fded41d2c6bd1ba5d9233399c1adfc,passed,passed,,,,,
aries-staticagent-python,62f0e4e435e4e324f76a8fb724d0f733192bc0c3,tests/test_pack_unpack.py::test_pack_unpack_with_routing_keys,aries_staticagent/static_connection.py::aries_staticagent.static_connection.StaticConnection,tests/test_pack_unpack.py::test_pack_unpack_anon,24d82c209512b4b99bc40f65780e9239,PCV_ERROR
aries-staticagent-python,62f0e4e435e4e324f76a8fb724d0f733192bc0c3,tests/test_pack_unpack.py::test_pack_unpack_with_routing_keys,tests/test_crypto.py::test_b64_to_bytes_urlsafe_padding,tests/test_pack_unpack.py::test_pack_unpack_anon,0d18b9268c7c1daf7a2b95e0c79bfd98,PCV_ERROR
aries-staticagent-python,62f0e4e435e4e324f76a8fb724d0f733192bc0c3,tests/test_pack_unpack.py::test_pack_unpack_with_routing_keys,aries_staticagent/static_connection.py::aries_staticagent.static_connection.StaticConnection,tests/test_pack_unpack.py::test_pack_unpack_auth,082338f7218e7fa5d05f9445960a71c5,PCV_ERROR
aries-staticagent-python,62f0e4e435e4e324f76a8fb724d0f733192bc0c3,tests/test_pack_unpack.py::test_pack_unpack_with_routing_keys,tests/test_crypto.py::test_b64_to_bytes_urlsafe_padding,tests/test_pack_unpack.py::test_pack_unpack_auth,10f9dc049b5a235e9e5ea59b64bad6b9,PCV_ERROR
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_basic_get,tests/test_base.py::TestBase::test_model,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,cbdb52ab7bd4023aed1ccd8acd9dc77f,failed,passed,False,,,,
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_basic_get,tests/test_client.py::TestClient::test_atlas_client,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,d63e0101d3807a017ffdbdf73e10fd06,failed,passed,True,0.5163287669420242,1.726715475320816,"0a1,2
> 
> from atlasclient.client import Atlas
454a457
>         client = Atlas('localhost', port=21000, username='admin', password='admin')
",passed,"
client = Atlas('localhost', port=21000, username='admin', password='admin')
"
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_fulltext_get,tests/test_base.py::TestBase::test_model,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,70c0cd8d9564c72d9afb0b42103a168d,failed,passed,False,,,,
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_fulltext_get,tests/test_client.py::TestClient::test_atlas_client,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,90375beea14f8d3f5ee293b948b00acb,failed,passed,True,0.5577699244022369,1.7629000693559647,"0a1,2
> 
> from atlasclient.client import Atlas
454a457
>         client = Atlas('localhost', port=21000, username='admin', password='admin')
",passed,"
client = Atlas('localhost', port=21000, username='admin', password='admin')
"
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_dsl_get,tests/test_base.py::TestBase::test_model,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,b8f094063462a253935db2ef1e93e129,failed,passed,False,,,,
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_dsl_get,tests/test_client.py::TestClient::test_atlas_client,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,5856213307519b1ea58665fece91575d,failed,passed,True,0.5243571177124977,1.723482683300972,"0a1,2
> 
> from atlasclient.client import Atlas
454a457
>         client = Atlas('localhost', port=21000, username='admin', password='admin')
",passed,"
client = Atlas('localhost', port=21000, username='admin', password='admin')
"
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_basic_post,tests/test_base.py::TestBase::test_model,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,99cc376b3d8e206fbf1329e2c35f34cc,failed,passed,False,,,,
atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_basic_post,tests/test_client.py::TestClient::test_atlas_client,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,9be7f89f1057ada3a3f5636d9a7ca6ed,failed,passed,True,0.5111724585294724,1.6935694813728333,"0a1,2
> 
> from atlasclient.client import Atlas
454a457
>         client = Atlas('localhost', port=21000, username='admin', password='admin')
",passed,"
client = Atlas('localhost', port=21000, username='admin', password='admin')
"
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_afx_2,aud/test_aud.py::test_afx_3,aud/test_aud.py::test_export,69cd0fdcd81d5bef3b6cd1538223684b,passed,passed,,,,,
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_cleanup,aud/test_aud.py::test_init,aud/test_aud.py::test_afx_2,9fea13a47ad8e3c7ef010b59a92f6756,failed,passed,False,,,,
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_cleanup,aud/test_aud.py::test_init,aud/test_aud.py::test_afx_3,e35ee6397c6559c9f58a50828f5c6148,failed,passed,False,,,,
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_afx_2,aud/test_aud.py::test_afx_3,aud/test_aud.py::test_export,69cd0fdcd81d5bef3b6cd1538223684b,failed,failed,,,,,
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_init,aud/test_aud.py::test_afx_3,aud/test_aud.py::test_export,cf72d9a10074810c13fc5379e1ae09be,failed,passed,False,,,,
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_authentication_error,cb8618933575b8a5f6eb7e9eec8c8cce,failed,passed,True,0.591610886156559,1.2596707716584206,"98a99
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_authentication_error,5fecd8558b3596867b7425ce96104b6d,failed,passed,True,0.5914494693279266,1.2589008584618568,"98a99
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_validation_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_authentication_error,e0f88e16e04db7059a6fa3a2ad49041b,failed,passed,True,0.5922332033514977,1.2610086500644684,"98a99
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_validation_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_authentication_error,96263ca9402b539f8bb0641d91ae4a3b,failed,passed,True,0.5967795625329018,1.2685102969408035,"98a99
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_invalid_request_error,c81e58f550472bdd431774c342cca8a7,failed,passed,True,0.5900803655385971,1.255364254117012,"90a91
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_invalid_request_error,0c1ca92ad5ba92383456a177ee551422,failed,passed,True,0.59139134734869,1.2590587139129639,"90a91
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_validation_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_invalid_request_error,89529c68090946b60e8905afdd27d6f1,failed,passed,True,0.5935891047120094,1.2718486115336418,"90a91
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_validation_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_invalid_request_error,68b05bbd14cbe7d69ab7d8b7195f5e05,failed,passed,True,0.5939683616161346,1.2668800428509712,"90a91
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_internal_server_error,tests/test_api_client.py::TestApiClient::test_resource_not_found_error,014abb47a9413c0f979d380c4e207b40,failed,passed,True,0.59089595079422,1.2567361518740654,"106a107
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
coinbase-commerce-python,d306fc562309edb909c8ace501c63327a7635975,tests/test_api_client.py::TestApiClient::test_param_required_error,tests/test_api_client.py::TestApiClient::test_rate_limit_exceeded_error,tests/test_api_client.py::TestApiClient::test_resource_not_found_error,8daf49a9b4260d85695d6667d31880f7,failed,passed,True,0.6183698177337646,1.3019551560282707,"106a107
>         mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
",passed,"
mock.MagicMock.content = PropertyMock(return_value='{""error"": {}}')
"
